TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.jcp.xml.dsig.internal.dom.DOMTransform,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5705817916260953,213,111
org.apache.jcp.xml.dsig.internal.dom.DOMUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6845185500187452,744,423
org.apache.jcp.xml.dsig.internal.dom.DOMX509Data,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6086261639052444,497,230
org.apache.jcp.xml.dsig.internal.dom.DOMX509IssuerSerial,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8818452380952381,138,119
org.apache.jcp.xml.dsig.internal.dom.DOMXMLObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8262200682948765,499,409
org.apache.jcp.xml.dsig.internal.dom.DOMXMLSignatureFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6095586480491703,748,453
org.apache.jcp.xml.dsig.internal.dom.Marshaller,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3520464078931821,300,24
org.apache.jcp.xml.dsig.internal.dom.Utils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6910406403940886,238,129
org.apache.jcp.xml.dsig.internal.dom.XMLDSigRI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,47,47
org.apache.jcp.xml.dsig.internal.dom.XmlWriterToTree,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,260,0
